party_id,party_code,party_name,pro_brexit
1,LAB,Party,Y
2,CON,Party,Y
3,BRX,Party,N
4,PC,Party,N
5,LD,Party,N
6,IND,Party,Y
7,SNP,Party,Y
8,GRN,Party,Y
9,MRLP,Party,Y
10,LIB,Party,N
11,ASH,Party,N
12,YRKS,Party,Y
13,SDP,Party,N
14,HWDI,Party,N
15,DUP,Party,N
16,APNI,Party,N
17,UUP,Party,N
18,SF,Party,N
19,SDLP,Party,N
20,AONT,Party,N
21,PBP,Party,N
22,ANWP,Party,N
23,ED,Party,N
24,BSJP,Party,N
25,CPA,Party,N
26,UKIP,Party,N
27,YESH,Party,N
28,CHP,Party,N
29,UGP,Party,N
30,REN,Party,N
31,TIG,Party,N
32,BPI,Party,N
33,WRP,Party,N
34,GWLD,Party,N
35,LBT,Party,N
36,PATR,Party,N
37,ADV,Party,N
38,SPE,Party,N
39,CVP,Party,N
40,WEP,Party,N
41,NE,Party,N
42,CMU,Party,N
43,YPP,Party,N
44,CMUK,Party,N
45,VPP,Party,N
46,PP,Party,N
47,JACP,Party,N
48,SLP,Party,N
49,BNP,Party,N
50,INET,Party,N
51,AGS,Party,N
52,SEQ,Party,N
53,POS,Party,N
54,CF,Party,N
55,PFP,Party,N
56,SHRP,Party,N
57,LNIN,Party,N
58,MK,Party,N
59,CP,Party,N
60,MTHR,Party,N
61,WY,Party,N
62,CLGB,Party,N
63,TCRP,Party,N
