constituency_name,ons_code,party_code,votes_share,year
Aberavon,W07000049,LAB,0.5379999999999999,2019
Aberavon,W07000049,CON,0.20600000000000002,2019
Aberavon,W07000049,BRX,0.098,2019
Aberavon,W07000049,PC,0.086,2019
Aberavon,W07000049,LD,0.034,2019
Aberavon,W07000049,IND,0.023,2019
Aberconwy,W07000058,CON,0.461,2019
Aberconwy,W07000058,LAB,0.397,2019
Aberconwy,W07000058,PC,0.085,2019
Aberconwy,W07000058,LD,0.057,2019
Aberdeen North,S14000001,SNP,0.54,2019
Aberdeen North,S14000001,CON,0.201,2019
Aberdeen North,S14000001,LAB,0.132,2019
Aberdeen North,S14000001,LD,0.076,2019
Aberdeen North,S14000001,BRX,0.027000000000000003,2019
Aberdeen North,S14000001,GRN,0.024,2019
Aberdeen South,S14000002,SNP,0.447,2019
Aberdeen South,S14000002,CON,0.359,2019
Aberdeen South,S14000002,LD,0.11,2019
Aberdeen South,S14000002,LAB,0.084,2019
Aberdeenshire West & Kincardine,S14000058,CON,0.42700000000000005,2019
Aberdeenshire West & Kincardine,S14000058,SNP,0.41100000000000003,2019
Aberdeenshire West & Kincardine,S14000058,LD,0.11699999999999999,2019
Aberdeenshire West & Kincardine,S14000058,LAB,0.046,2019
