,ons_id,constituency_name
0,N06000001,Belfast East
1,N06000002,Belfast North
2,N06000003,Belfast South
3,N06000004,Belfast West
4,N06000005,East Antrim
5,N06000006,East Londonderry
6,N06000007,Fermanagh & South Tyrone
7,N06000008,Foyle
8,N06000009,Lagan Valley
9,N06000010,Mid Ulster
10,N06000011,Newry & Armagh
11,N06000012,North Antrim
12,N06000013,North Down
13,N06000014,South Antrim
14,N06000015,South Down
15,N06000016,Strangford
16,N06000017,Upper Bann
17,N06000018,West Tyrone
18,S14000001,Aberdeen North
19,S14000002,Aberdeen South
20,S14000003,Airdrie & Shotts
21,S14000004,Angus
22,S14000005,Argyll & Bute
23,S14000006,"Ayr, Carrick & Cumnock"
24,S14000007,Banff & Buchan
25,S14000008,"Berwickshire, Roxburgh & Selkirk"
26,S14000009,"Caithness, Sutherland & Easter Ross"
27,S14000010,Ayrshire Central
28,S14000011,"Coatbridge, Chryston & Bellshill"
29,S14000012,"Cumbernauld, Kilsyth & Kirkintilloch East"
30,S14000013,Dumfries & Galloway
31,S14000014,"Dumfriesshire, Clydesdale & Tweeddale"
32,S14000015,Dundee East
33,S14000016,Dundee West
34,S14000017,Dunfermline & West Fife
35,S14000018,Dunbartonshire East
36,S14000019,"East Kilbride, Strathaven & Lesmahagow"
37,S14000020,East Lothian
38,S14000021,Renfrewshire East
39,S14000022,Edinburgh East
40,S14000023,Edinburgh North & Leith
41,S14000024,Edinburgh South
42,S14000025,Edinburgh South West
43,S14000026,Edinburgh West
44,S14000027,Na h-Eileanan an Iar (Western Isles)
45,S14000028,Falkirk
46,S14000029,Glasgow Central
47,S14000030,Glasgow East
48,S14000031,Glasgow North
49,S14000032,Glasgow North East
50,S14000033,Glasgow North West
51,S14000034,Glasgow South
52,S14000035,Glasgow South West
53,S14000036,Glenrothes
54,S14000037,Gordon
55,S14000038,Inverclyde
56,S14000039,"Inverness, Nairn, Badenoch & Strathspey"
57,S14000040,Kilmarnock & Loudoun
58,S14000041,Kirkcaldy & Cowdenbeath
59,S14000042,Lanark & Hamilton East
60,S14000043,Linlithgow & Falkirk East
61,S14000044,Livingston
62,S14000045,Midlothian
63,S14000046,Moray
64,S14000047,Motherwell & Wishaw
65,S14000048,Ayrshire North & Arran
66,S14000049,Fife North East
67,S14000050,Ochil & South Perthshire
68,S14000051,Orkney & Shetland
69,S14000052,Paisley & Renfrewshire North
70,S14000053,Paisley & Renfrewshire South
71,S14000054,Perth & North Perthshire
72,S14000055,"Ross, Skye & Lochaber"
73,S14000056,Rutherglen & Hamilton West
74,S14000057,Stirling
75,S14000058,Aberdeenshire West & Kincardine
76,S14000059,Dunbartonshire West
77,W07000041,Ynys Mon
78,W07000042,Delyn
79,W07000043,Alyn & Deeside
80,W07000044,Wrexham
81,W07000045,Llanelli
82,W07000046,Gower
83,W07000047,Swansea West
84,W07000048,Swansea East
85,W07000049,Aberavon
86,W07000050,Cardiff Central
87,W07000051,Cardiff North
88,W07000052,Rhondda
89,W07000053,Torfaen
90,W07000054,Monmouth
91,W07000055,Newport East
92,W07000056,Newport West
93,W07000057,Arfon
94,W07000058,Aberconwy
95,W07000059,Clwyd West
96,W07000060,Vale of Clwyd
97,W07000061,Dwyfor Meirionnydd
98,W07000062,Clwyd South
99,W07000063,Montgomeryshire
100,W07000064,Ceredigion
101,W07000065,Preseli Pembrokeshire
102,W07000066,Carmarthen West & Pembrokeshire South
103,W07000067,Carmarthen East & Dinefwr
104,W07000068,Brecon & Radnorshire
105,W07000069,Neath
106,W07000070,Cynon Valley
107,W07000071,Merthyr Tydfil & Rhymney
108,W07000072,Blaenau Gwent
109,W07000073,Bridgend
110,W07000074,Ogmore
111,W07000075,Pontypridd
112,W07000076,Caerphilly
113,W07000077,Islwyn
114,W07000078,Vale of Glamorgan
115,W07000079,Cardiff West
116,W07000080,Cardiff South & Penarth
117,E14000530,Aldershot
118,E14000531,Aldridge-Brownhills
119,E14000532,Altrincham & Sale West
120,E14000533,Amber Valley
121,E14000534,Arundel & South Downs
122,E14000535,Ashfield
123,E14000536,Ashford
124,E14000537,Ashton-under-Lyne
125,E14000538,Aylesbury
126,E14000539,Banbury
127,E14000540,Barking
128,E14000541,Barnsley Central
129,E14000542,Barnsley East
130,E14000543,Barrow & Furness
131,E14000544,Basildon & Billericay
132,E14000545,Basingstoke
133,E14000546,Bassetlaw
134,E14000547,Bath
135,E14000548,Batley & Spen
136,E14000549,Battersea
137,E14000550,Beaconsfield
138,E14000551,Beckenham
139,E14000552,Bedford
140,E14000553,Bermondsey & Old Southwark
141,E14000554,Berwick-upon-Tweed
142,E14000555,Bethnal Green & Bow
143,E14000556,Beverley & Holderness
144,E14000557,Bexhill & Battle
145,E14000558,Bexleyheath & Crayford
146,E14000559,Birkenhead
147,E14000560,Birmingham Edgbaston
148,E14000561,Birmingham Erdington
149,E14000562,Birmingham Hall Green
150,E14000563,Birmingham Hodge Hill
151,E14000564,Birmingham Ladywood
152,E14000565,Birmingham Northfield
153,E14000566,Birmingham Perry Barr
154,E14000567,Birmingham Selly Oak
155,E14000568,Birmingham Yardley
156,E14000569,Bishop Auckland
157,E14000570,Blackburn
158,E14000571,Blackley & Broughton
159,E14000572,Blackpool North & Cleveleys
160,E14000573,Blackpool South
161,E14000574,Blaydon
162,E14000575,Blyth Valley
163,E14000576,Bognor Regis & Littlehampton
164,E14000577,Bolsover
165,E14000578,Bolton North East
166,E14000579,Bolton South East
167,E14000580,Bolton West
168,E14000581,Bootle
169,E14000582,Boston & Skegness
170,E14000583,Bosworth
171,E14000584,Bournemouth East
172,E14000585,Bournemouth West
